,attitude
0,2.7254781558786476
1,2.2798370306027564
2,5.830845652590101
3,-0.444898111700474
4,0.8282405184587667
5,1.9042758857189415
6,0.5878091947956976
7,2.5574364104482075
8,2.406236472533225
9,4.994005240659751
10,1.8484121118571042
11,4.011133181965618
12,3.8808432954465073
13,3.177942401444172
14,2.777390304479079
15,2.6103098022843256
16,-0.3032227079632923
17,6.352481927794177
18,1.403908361899335
19,1.7902805237931594
20,4.352329724681674
21,0.6370287982669023
22,4.577655206054136
23,2.272571433501718
24,4.267818002225934
25,2.0658341562926936
26,2.283605768126149
27,4.514988076684478
28,-2.18897450965413
29,3.015534193969328
30,2.9216278086497653
31,2.3146218797360403
32,4.160684041323185
33,3.1766224693958156
34,0.9755183842009227
35,-1.0022768868103604
36,2.552918253168288
37,0.4207646288969009
38,-3.316228347089893
39,3.10455414327838
40,1.0451236883704784
41,-1.6659731132757014
42,2.4472191963165946
43,-3.976668349069534
44,4.102643282568531
45,-2.7050415231745126
46,2.4436600403270416
47,0.8645311604124917
48,3.49791734559686
49,1.8819671734159187
50,1.3506256419831995
51,3.6043544853335296
52,0.9141606603808001
53,-0.6731168420410465
54,-1.1547550415656231
55,2.6749272454561357
56,5.387855868617638
57,2.05504175547688
58,0.10718596708415618
59,4.305891554018555
60,2.6004618862476097
61,3.0803482019278414
62,3.4212086856981956
63,2.8544611282544885
64,5.854844576488517
65,2.5061649467809906
66,1.847946092220012
67,-0.17981693681566302
68,3.5785606480106473
69,0.25297233802423014
70,5.340032531149975
71,-0.32333539720064275
72,2.5602797393889665
73,3.6682236903934013
74,1.4371701875526066
75,4.03702336833809
76,1.6344474423679598
77,1.3089779664122108
78,1.6151519851569294
79,3.4242138360361976
80,3.3704497414087586
81,1.733508088602957
82,1.824191157964009
83,4.509834279042562
84,2.1622789005112564
85,6.646098189365743
86,5.606440274954723
87,2.652538789184579
88,-0.3706734274445762
89,4.382770150931513
90,5.33129911546208
91,-0.055439417890216
92,0.30891571556125763
93,2.3742265992890608
94,0.7916158707694814
95,1.0791552440427115
96,4.136869754899326
97,4.509649088766791
98,3.38912189627878
99,-0.32610806426356387
